player_id	first_deposit_amount	day_profit	profit_status	amount_tier
77300246	500.00	652.00	盈利	500-999
15222136	500.00	398.64	盈利	500-999
88035122	500.00	630.14	盈利	500-999
69903883	500.00	1787.00	盈利	500-999
81324205	500.00	740.96	盈利	500-999
14747239	500.00	607.80	盈利	500-999
25152205	500.00	594.43	盈利	500-999
20514784	500.00	610.66	盈利	500-999
41630142	500.00	606.50	盈利	500-999
27273509	500.00	630.00	盈利	500-999
37633675	500.00	675.69	盈利	500-999
35237549	500.00	371.45	盈利	500-999
17930089	500.00	676.01	盈利	500-999
69214706	500.00	485.78	盈利	500-999
55033486	500.00	163.68	盈利	500-999
12027518	500.00	452.45	盈利	500-999
77614451	500.00	593.00	盈利	500-999
70461545	500.00	1767.70	盈利	500-999
39523486	500.00	1114.60	盈利	500-999
61329201	500.00	269.20	盈利	500-999
86289214	500.00	1184.00	盈利	500-999
16396837	500.00	368.20	盈利	500-999
20105086	500.00	611.50	盈利	500-999
14133012	500.00	607.32	盈利	500-999
72563939	500.00	809.71	盈利	500-999
42269348	500.00	590.00	盈利	500-999
79217340	500.00	569.05	盈利	500-999
10171441	500.00	591.60	盈利	500-999
43689724	500.00	596.60	盈利	500-999
35619003	500.00	511.86	盈利	500-999
65713355	500.00	592.56	盈利	500-999
39523486	500.00	1114.60	盈利	500-999
81735150	500.00	1186.00	盈利	500-999
93213111	500.00	38.73	盈利	500-999
24364452	500.00	91.80	盈利	500-999
39907021	500.00	554.32	盈利	500-999
74431738	500.00	2809.00	盈利	500-999
32045363	500.00	823.62	盈利	500-999
43001015	500.00	594.80	盈利	500-999
40867433	500.00	1472.80	盈利	500-999
36674958	500.00	594.10	盈利	500-999
84675379	500.00	607.60	盈利	500-999
84461811	500.00	609.48	盈利	500-999
40828895	500.00	1790.63	盈利	500-999
32885519	500.00	858.70	盈利	500-999
37086326	500.00	945.20	盈利	500-999
40828895	500.00	1790.63	盈利	500-999
78365463	500.00	738.40	盈利	500-999
41568487	500.00	673.55	盈利	500-999
44790234	500.00	610.80	盈利	500-999
75367697	500.00	590.00	盈利	500-999
38220847	500.00	227.68	盈利	500-999
93699088	500.00	607.02	盈利	500-999
20855344	500.00	597.34	盈利	500-999
51021034	500.00	633.85	盈利	500-999
84627864	500.00	1158.00	盈利	500-999
37766856	500.00	658.27	盈利	500-999
84627864	500.00	1158.00	盈利	500-999
20331091	500.00	596.00	盈利	500-999
38117793	500.00	531.00	盈利	500-999
82075710	500.00	685.90	盈利	500-999
53881327	500.00	607.70	盈利	500-999
84434276	500.00	11.44	盈利	500-999
89055839	500.00	1093.25	盈利	500-999
87071542	500.00	591.76	盈利	500-999
69631331	500.00	103.50	盈利	500-999
12959496	500.00	61.60	盈利	500-999
77676246	500.00	12.85	盈利	500-999
73334274	500.00	583.60	盈利	500-999
15654978	500.00	594.00	盈利	500-999
82846828	500.00	600.40	盈利	500-999
90588207	500.00	653.60	盈利	500-999
61421174	500.00	599.88	盈利	500-999
81709011	500.00	597.99	盈利	500-999
72660668	500.00	134.20	盈利	500-999
98908632	500.00	870.15	盈利	500-999
31072415	500.00	1014.95	盈利	500-999
41923335	500.00	1904.12	盈利	500-999
40828895	500.00	1790.63	盈利	500-999
31300585	500.00	608.40	盈利	500-999
51722674	500.00	587.60	盈利	500-999
67506726	500.00	1062.45	盈利	500-999
20162595	500.00	591.20	盈利	500-999
74251446	500.00	332.88	盈利	500-999
71304545	500.00	758.60	盈利	500-999
18883241	500.00	215.00	盈利	500-999
56204850	500.00	572.00	盈利	500-999
