player_id	total_recharge	total_withdraw	net_loss	loss_percent	recharge_tier
98824844	11000.00	0.00	11000.00	100.0	3500+
18810429	10800.00	0.00	10800.00	100.0	3500+
82224374	10700.00	0.00	10700.00	100.0	3500+
85468302	10700.00	0.00	10700.00	100.0	3500+
98131521	10700.00	0.00	10700.00	100.0	3500+
95964830	10500.00	920.00	9580.00	91.2	3500+
99255841	10500.00	0.00	10500.00	100.0	3500+
99261063	10500.00	0.00	10500.00	100.0	3500+
17392648	10500.00	0.00	10500.00	100.0	3500+
39882829	10500.00	0.00	10500.00	100.0	3500+
52718360	10400.00	0.00	10400.00	100.0	3500+
82621665	10400.00	0.00	10400.00	100.0	3500+
58732234	10340.00	500.00	9840.00	95.2	3500+
59589287	10220.00	0.00	10220.00	100.0	3500+
47795478	10200.00	0.00	10200.00	100.0	3500+
18188250	10200.00	0.00	10200.00	100.0	3500+
23948419	10100.00	0.00	10100.00	100.0	3500+
74874900	10100.00	0.00	10100.00	100.0	3500+
63946291	10026.00	0.00	10026.00	100.0	3500+
76018349	10010.00	0.00	10010.00	100.0	3500+
69651546	10000.00	0.00	10000.00	100.0	3500+
71205270	10000.00	0.00	10000.00	100.0	3500+
71315855	10000.00	0.00	10000.00	100.0	3500+
76577197	10000.00	0.00	10000.00	100.0	3500+
77878257	10000.00	0.00	10000.00	100.0	3500+
82431872	10000.00	0.00	10000.00	100.0	3500+
83541426	10000.00	0.00	10000.00	100.0	3500+
50506563	10000.00	268.00	9732.00	97.3	3500+
33092464	10000.00	0.00	10000.00	100.0	3500+
34370588	10000.00	0.00	10000.00	100.0	3500+
41045563	10000.00	0.00	10000.00	100.0	3500+
43624109	10000.00	0.00	10000.00	100.0	3500+
47286674	10000.00	0.00	10000.00	100.0	3500+
47975085	10000.00	0.00	10000.00	100.0	3500+
48907462	10000.00	0.00	10000.00	100.0	3500+
93784079	10000.00	0.00	10000.00	100.0	3500+
98069576	10000.00	0.00	10000.00	100.0	3500+
10974777	10000.00	0.00	10000.00	100.0	3500+
17473026	10000.00	0.00	10000.00	100.0	3500+
20674594	10000.00	0.00	10000.00	100.0	3500+
27126919	10000.00	0.00	10000.00	100.0	3500+
15871454	9997.00	0.00	9997.00	100.0	3500+
33624712	9949.00	0.00	9949.00	100.0	3500+
77886690	9900.00	0.00	9900.00	100.0	3500+
