player_id	fail_count	max_fail_amount	amount_tier
64655797	3	100.00	0-499
64788884	2	200.00	0-499
65369232	6	500.00	500-999
65561867	4	100.00	0-499
65735685	5	500.00	500-999
65983524	2	1000.00	1000+
66797786	2	100.00	0-499
66959445	2	200.00	0-499
67294212	3	300.00	0-499
67703931	4	500.00	500-999
67798036	7	500.00	500-999
68408121	9	100.00	0-499
68543940	3	100.00	0-499
68771126	2	121.00	0-499
68793124	4	100.00	0-499
68882048	3	120.00	0-499
68977064	2	130.00	0-499
68992460	7	300.00	0-499
69236442	4	100.00	0-499
69244895	5	3000.00	1000+
69704020	5	50000.00	1000+
70228585	3	100.00	0-499
70563294	2	100.00	0-499
71251752	2	100.00	0-499
71344270	7	800.00	500-999
71399327	20	300.00	0-499
71836742	4	100.00	0-499
72779606	2	200.00	0-499
73403059	4	200.00	0-499
73620378	4	800.00	500-999
73680014	4	200.00	0-499
73770616	9	100.00	0-499
73895634	2	2000.00	1000+
73923161	9	3000.00	1000+
74018604	4	100.00	0-499
74207277	2	105.00	0-499
74315885	3	100.00	0-499
74435220	5	100.00	0-499
74566112	6	10000.00	1000+
74610341	2	300.00	0-499
74644073	6	500.00	500-999
75307689	5	3000.00	1000+
75542347	2	300.00	0-499
75612960	2	300.00	0-499
75688329	6	200.00	0-499
75741258	2	1000.00	1000+
76485694	2	100.00	0-499
76703969	2	100.00	0-499
76726306	2	100.00	0-499
76764840	3	500.00	500-999
76772312	2	500.00	500-999
76842985	2	1000.00	1000+
76907719	2	200.00	0-499
76974198	4	100.00	0-499
77459427	3	100.00	0-499
77826247	5	2000.00	1000+
77932026	2	500.00	500-999
78007007	3	2647.00	1000+
78510749	3	100.00	0-499
78650741	4	200.00	0-499
78669261	2	200.00	0-499
79526544	2	100.00	0-499
79608522	4	1000.00	1000+
79895231	2	300.00	0-499
79907514	2	300.00	0-499
80095884	2	100.00	0-499
80368587	10	200.00	0-499
80543459	2	2000.00	1000+
80700129	2	100.00	0-499
81181591	4	200.00	0-499
81867645	3	1000.00	1000+
81910211	2	500.00	500-999
81965464	9	200.00	0-499
81966054	2	500.00	500-999
82128244	4	100.00	0-499
82230795	4	100.00	0-499
82263450	4	2000.00	1000+
82392530	4	200.00	0-499
83104379	3	2000.00	1000+
83392550	2	100.00	0-499
83539253	2	100.00	0-499
84584762	2	100.00	0-499
85359123	2	100.00	0-499
85443965	3	1100.00	1000+
85527800	4	100.00	0-499
86126062	2	300.00	0-499
86363634	3	200.00	0-499
86403355	4	200.00	0-499
86643330	4	100.00	0-499
86703932	8	300.00	0-499
86772172	3	100.00	0-499
86923602	5	100.00	0-499
86937496	2	300.00	0-499
87091636	2	100.00	0-499
87112471	5	1000.00	1000+
87184121	5	200.00	0-499
87619651	5	500.00	500-999
87669582	4	300.00	0-499
87729537	2	5000.00	1000+
87936425	2	100.00	0-499
87967709	2	300.00	0-499
88011428	2	200.00	0-499
88229745	2	100.00	0-499
88311007	5	10000.00	1000+
88499182	2	300.00	0-499
88521285	2	100.00	0-499
88532032	3	200.00	0-499
88704124	2	500.00	500-999
88744436	3	300.00	0-499
88863875	2	10000.00	1000+
88980590	2	500.00	500-999
89006657	6	200.00	0-499
89496914	3	100.00	0-499
90014476	3	5000.00	1000+
90305959	4	1000.00	1000+
90342125	2	100.00	0-499
90601155	4	1000.00	1000+
90919036	2	100.00	0-499
91181244	3	300.00	0-499
91331813	5	100.00	0-499
91496097	2	100.00	0-499
91778264	2	5000.00	1000+
92058900	2	2000.00	1000+
92250982	2	2000.00	1000+
92295071	2	100.00	0-499
92457750	3	2000.00	1000+
92551455	7	200.00	0-499
93401002	2	1000.00	1000+
93709522	3	100.00	0-499
93808659	19	300.00	0-499
94285779	5	300.00	0-499
94511619	2	5000.00	1000+
94901418	2	100.00	0-499
95062937	3	300.00	0-499
95452463	7	700.00	500-999
95474935	3	300.00	0-499
95590087	3	100.00	0-499
95704198	8	100.00	0-499
95982446	2	500.00	500-999
96315719	3	100.00	0-499
96822863	2	1000.00	1000+
97180708	12	5000.00	1000+
97373432	3	100.00	0-499
97412171	6	100.00	0-499
97877912	3	100.00	0-499
98046269	2	1000.00	1000+
98139025	3	500.00	500-999
99559482	2	500.00	500-999
99562484	3	500.00	500-999
99937158	3	300.00	0-499
