player_id	fail_count	max_fail_amount	min_fail_amount
44079116	16	100.00	100.00
44246788	6	100.00	100.00
44984118	4	100.00	100.00
46777125	2	100.00	100.00
46847888	2	100.00	100.00
48086301	2	100.00	100.00
49898218	5	100.00	100.00
50133537	2	100.00	100.00
52097828	3	100.00	100.00
52948135	8	100.00	100.00
53590653	2	100.00	100.00
54584016	2	100.00	100.00
54718165	2	100.00	100.00
55132616	2	100.00	100.00
55489419	4	100.00	100.00
56472713	3	100.00	100.00
58692171	6	100.00	100.00
61038841	3	100.00	100.00
61406121	3	100.00	100.00
61464315	4	100.00	100.00
62719090	2	100.00	100.00
63432179	2	100.00	100.00
64114677	4	100.00	100.00
64655797	3	100.00	100.00
65561867	4	100.00	100.00
66797786	2	100.00	100.00
68408121	9	100.00	100.00
68543940	3	100.00	100.00
68793124	4	100.00	100.00
69236442	4	100.00	100.00
69704020	4	100.00	100.00
70228585	3	100.00	100.00
70563294	2	100.00	100.00
71251752	2	100.00	100.00
71344270	4	100.00	100.00
71836742	4	100.00	100.00
73770616	9	100.00	100.00
74018604	4	100.00	100.00
74315885	3	100.00	100.00
74435220	5	100.00	100.00
76485694	2	100.00	100.00
76703969	2	100.00	100.00
76726306	2	100.00	100.00
76974198	4	100.00	100.00
77459427	3	100.00	100.00
78510749	3	100.00	100.00
79526544	2	100.00	100.00
80095884	2	100.00	100.00
80700129	2	100.00	100.00
82128244	4	100.00	100.00
82230795	4	100.00	100.00
83104379	2	100.00	100.00
83392550	2	100.00	100.00
83539253	2	100.00	100.00
84584762	2	100.00	100.00
85359123	2	100.00	100.00
85527800	4	100.00	100.00
86643330	4	100.00	100.00
86772172	3	100.00	100.00
86923602	5	100.00	100.00
87091636	2	100.00	100.00
87936425	2	100.00	100.00
88229745	2	100.00	100.00
88521285	2	100.00	100.00
89496914	3	100.00	100.00
90342125	2	100.00	100.00
90919036	2	100.00	100.00
91331813	5	100.00	100.00
91496097	2	100.00	100.00
92295071	2	100.00	100.00
93709522	3	100.00	100.00
94901418	2	100.00	100.00
95590087	3	100.00	100.00
95704198	8	100.00	100.00
96315719	3	100.00	100.00
97373432	3	100.00	100.00
97412171	6	100.00	100.00
97877912	3	100.00	100.00
