player_id	first_deposit_amount	day_profit	profit_status	amount_tier
42453060	500.00	35.00	盈利	500-999
92361839	500.00	667.02	盈利	500-999
52469807	500.00	2205.41	盈利	500-999
52179925	500.00	916.00	盈利	500-999
46410174	500.00	1805.54	盈利	500-999
32164387	500.00	-7.44	虧損	500-999
42514348	500.00	1249.93	盈利	500-999
66084354	500.00	-48.33	虧損	500-999
68000482	500.00	591.14	盈利	500-999
40898135	500.00	744.49	盈利	500-999
24704552	500.00	-673.04	虧損	500-999
42514348	500.00	1249.93	盈利	500-999
40898135	500.00	744.49	盈利	500-999
61597460	500.00	-1545.84	虧損	500-999
58788858	500.00	962.40	盈利	500-999
63481905	500.00	1402.42	盈利	500-999
63481905	500.00	1402.42	盈利	500-999
52607257	500.00	1064.16	盈利	500-999
85405036	500.00	-677.72	虧損	500-999
90754612	500.00	-2354.76	虧損	500-999
71704022	500.00	627.00	盈利	500-999
46856124	500.00	592.20	盈利	500-999
43987166	500.00	625.80	盈利	500-999
96832995	500.00	-411.20	虧損	500-999
90125904	500.00	593.40	盈利	500-999
42910135	500.00	660.95	盈利	500-999
81329340	500.00	-57.50	虧損	500-999
66154444	500.00	-1228.41	虧損	500-999
67334383	500.00	642.40	盈利	500-999
30240110	500.00	675.44	盈利	500-999
67334383	500.00	642.40	盈利	500-999
83696952	500.00	1188.70	盈利	500-999
79454449	500.00	-25.00	虧損	500-999
78738656	500.00	-22.28	虧損	500-999
45770860	500.00	683.98	盈利	500-999
79945583	500.00	605.66	盈利	500-999
26485139	500.00	680.70	盈利	500-999
40867433	500.00	1472.80	盈利	500-999
75197811	500.00	-51.50	虧損	500-999
86894685	500.00	570.00	盈利	500-999
21470962	500.00	-3985.00	虧損	500-999
86894685	500.00	570.00	盈利	500-999
32764121	500.00	133.20	盈利	500-999
44094710	500.00	1119.70	盈利	500-999
49863186	500.00	119.87	盈利	500-999
46058907	500.00	-1071.42	虧損	500-999
84960500	500.00	1175.07	盈利	500-999
45080475	500.00	628.38	盈利	500-999
36102196	500.00	1349.30	盈利	500-999
56656970	500.00	58.90	盈利	500-999
26096119	500.00	608.00	盈利	500-999
54452306	500.00	556.40	盈利	500-999
23014269	500.00	607.44	盈利	500-999
81867087	500.00	-11.56	虧損	500-999
12822785	500.00	-145.25	虧損	500-999
13549703	500.00	-327.20	虧損	500-999
26628570	500.00	-86.35	虧損	500-999
48151669	500.00	-1419.40	虧損	500-999
13549703	500.00	-327.20	虧損	500-999
77300246	500.00	652.00	盈利	500-999
