player_id	daily_recharge	daily_withdraw	net_loss	loss_percentage	offer_tier
38982076	17700.00	0.00	17700.00	100.00	3500+ (35% cashback)
19093362	16000.00	0.00	16000.00	100.00	3500+ (35% cashback)
77968901	15200.00	0.00	15200.00	100.00	3500+ (35% cashback)
20560978	15000.00	0.00	15000.00	100.00	3500+ (35% cashback)
30256773	14000.00	0.00	14000.00	100.00	3500+ (35% cashback)
50608130	12900.00	0.00	12900.00	100.00	3500+ (35% cashback)
16826511	10000.00	0.00	10000.00	100.00	3500+ (35% cashback)
50926343	10000.00	0.00	10000.00	100.00	3500+ (35% cashback)
54673116	10000.00	0.00	10000.00	100.00	3500+ (35% cashback)
69699237	10000.00	0.00	10000.00	100.00	3500+ (35% cashback)
61378061	9500.00	0.00	9500.00	100.00	3500+ (35% cashback)
51141724	9000.00	0.00	9000.00	100.00	3500+ (35% cashback)
77188642	8500.00	0.00	8500.00	100.00	3500+ (35% cashback)
62947451	8000.00	0.00	8000.00	100.00	3500+ (35% cashback)
25720009	7000.00	0.00	7000.00	100.00	3500+ (35% cashback)
48668796	7000.00	0.00	7000.00	100.00	3500+ (35% cashback)
49352142	7000.00	0.00	7000.00	100.00	3500+ (35% cashback)
78066154	7000.00	0.00	7000.00	100.00	3500+ (35% cashback)
68151100	6500.00	0.00	6500.00	100.00	3500+ (35% cashback)
73110893	6500.00	0.00	6500.00	100.00	3500+ (35% cashback)
89540351	6500.00	0.00	6500.00	100.00	3500+ (35% cashback)
91924938	6000.00	0.00	6000.00	100.00	3500+ (35% cashback)
17934905	5600.00	500.00	5100.00	91.07	3500+ (35% cashback)
23852475	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
28435905	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
35367524	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
48421795	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
69069607	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
77015512	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
86561781	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
90206597	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
90971139	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
94511619	5000.00	0.00	5000.00	100.00	3500+ (35% cashback)
69630855	4550.00	0.00	4550.00	100.00	3500+ (35% cashback)
37261092	4500.00	0.00	4500.00	100.00	3500+ (35% cashback)
52239781	4400.00	0.00	4400.00	100.00	3500+ (35% cashback)
36316053	4100.00	0.00	4100.00	100.00	3500+ (35% cashback)
12022080	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
14638586	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
17569663	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
21150637	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
26956675	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
55227939	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
55475410	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
57733169	4000.00	0.00	4000.00	100.00	3500+ (35% cashback)
