player_id	daily_recharge	platform_profit	loss_percentage_raw	loss_percentage_after_bonus	offer_tier
16630828	1000.00	1812.47	181.25	161.67	500-1999 (25% cashback)
18232959	1000.00	1287.19	128.72	109.14	500-1999 (25% cashback)
19461673	1000.00	1306.70	130.67	111.09	500-1999 (25% cashback)
22486052	1000.00	1226.70	122.67	103.09	500-1999 (25% cashback)
24210156	1000.00	1102.60	110.26	90.68	500-1999 (25% cashback)
25381229	1000.00	1121.10	112.11	92.53	500-1999 (25% cashback)
25589251	1000.00	1314.30	131.43	111.85	500-1999 (25% cashback)
28648298	1000.00	1169.90	116.99	97.41	500-1999 (25% cashback)
29416861	1000.00	1212.25	121.23	101.65	500-1999 (25% cashback)
29562041	1000.00	1276.00	127.60	108.02	500-1999 (25% cashback)
29855668	1000.00	1190.76	119.08	99.50	500-1999 (25% cashback)
30299475	1000.00	1244.16	124.42	104.84	500-1999 (25% cashback)
31667101	1000.00	1155.20	115.52	95.94	500-1999 (25% cashback)
32618292	1000.00	1185.55	118.56	98.98	500-1999 (25% cashback)
32999687	1000.00	1188.00	118.80	99.22	500-1999 (25% cashback)
33186115	1000.00	1124.93	112.49	92.91	500-1999 (25% cashback)
35359688	1000.00	1158.00	115.80	96.22	500-1999 (25% cashback)
37950235	1000.00	1152.02	115.20	95.62	500-1999 (25% cashback)
39523486	1000.00	1114.60	111.46	91.88	500-1999 (25% cashback)
39564422	1000.00	1161.80	116.18	96.60	500-1999 (25% cashback)
40655712	1000.00	1600.32	160.03	140.45	500-1999 (25% cashback)
41057863	1000.00	1180.00	118.00	98.42	500-1999 (25% cashback)
42037675	1000.00	1823.10	182.31	162.73	500-1999 (25% cashback)
42847530	1000.00	1156.32	115.63	96.05	500-1999 (25% cashback)
43839966	1000.00	1175.04	117.50	97.92	500-1999 (25% cashback)
43897912	1000.00	1151.66	115.17	95.59	500-1999 (25% cashback)
44094710	1000.00	1119.70	111.97	92.39	500-1999 (25% cashback)
44396655	1000.00	1200.00	120.00	100.42	500-1999 (25% cashback)
44501837	1000.00	1249.70	124.97	105.39	500-1999 (25% cashback)
44908464	1000.00	1140.03	114.00	94.42	500-1999 (25% cashback)
47572106	1000.00	1160.00	116.00	96.42	500-1999 (25% cashback)
47916440	1000.00	1171.49	117.15	97.57	500-1999 (25% cashback)
49417717	1000.00	1237.02	123.70	104.12	500-1999 (25% cashback)
50092888	1000.00	1258.00	125.80	106.22	500-1999 (25% cashback)
53563537	1000.00	1239.76	123.98	104.40	500-1999 (25% cashback)
54018100	1000.00	1105.00	110.50	90.92	500-1999 (25% cashback)
54066993	1000.00	1146.40	114.64	95.06	500-1999 (25% cashback)
55520717	1000.00	1151.75	115.18	95.60	500-1999 (25% cashback)
55870809	1000.00	1190.28	119.03	99.45	500-1999 (25% cashback)
56335605	1000.00	1172.10	117.21	97.63	500-1999 (25% cashback)
56539785	1000.00	1184.00	118.40	98.82	500-1999 (25% cashback)
57342507	1000.00	1241.95	124.20	104.62	500-1999 (25% cashback)
58420113	1000.00	1114.00	111.40	91.82	500-1999 (25% cashback)
58911844	1000.00	1158.08	115.81	96.23	500-1999 (25% cashback)
59580393	1000.00	1102.44	110.24	90.66	500-1999 (25% cashback)
60396839	1000.00	1297.32	129.73	110.15	500-1999 (25% cashback)
60700729	1000.00	1117.00	111.70	92.12	500-1999 (25% cashback)
60748782	1000.00	1205.86	120.59	101.01	500-1999 (25% cashback)
61029153	1000.00	1339.12	133.91	114.33	500-1999 (25% cashback)
61739090	1000.00	1167.00	116.70	97.12	500-1999 (25% cashback)
62329546	1000.00	1124.00	112.40	92.82	500-1999 (25% cashback)
68236531	1000.00	1123.00	112.30	92.72	500-1999 (25% cashback)
70492683	1000.00	1119.49	111.95	92.37	500-1999 (25% cashback)
72071318	1000.00	1115.25	111.53	91.95	500-1999 (25% cashback)
73551446	1000.00	1117.90	111.79	92.21	500-1999 (25% cashback)
74383513	1000.00	1360.37	136.04	116.46	500-1999 (25% cashback)
74672544	1000.00	1172.00	117.20	97.62	500-1999 (25% cashback)
75327436	1000.00	1125.25	112.53	92.95	500-1999 (25% cashback)
75603419	1000.00	1154.01	115.40	95.82	500-1999 (25% cashback)
75786466	1000.00	1164.25	116.43	96.85	500-1999 (25% cashback)
77321376	1000.00	1117.10	111.71	92.13	500-1999 (25% cashback)
77465110	1000.00	1674.01	167.40	147.82	500-1999 (25% cashback)
79495870	1000.00	1133.90	113.39	93.81	500-1999 (25% cashback)
80439246	1000.00	1142.00	114.20	94.62	500-1999 (25% cashback)
81014560	1000.00	1201.12	120.11	100.53	500-1999 (25% cashback)
81053385	1000.00	2113.40	211.34	191.76	500-1999 (25% cashback)
81362723	1000.00	1646.00	164.60	145.02	500-1999 (25% cashback)
87853215	1000.00	1181.00	118.10	98.52	500-1999 (25% cashback)
89572569	1000.00	1127.75	112.78	93.20	500-1999 (25% cashback)
89975503	1000.00	1168.30	116.83	97.25	500-1999 (25% cashback)
92974042	1000.00	1132.10	113.21	93.63	500-1999 (25% cashback)
92995128	1000.00	1806.00	180.60	161.02	500-1999 (25% cashback)
93227055	1000.00	1205.00	120.50	100.92	500-1999 (25% cashback)
95115956	1000.00	1249.40	124.94	105.36	500-1999 (25% cashback)
96506003	1000.00	1134.68	113.47	93.89	500-1999 (25% cashback)
96674308	1000.00	1384.10	138.41	118.83	500-1999 (25% cashback)
57345719	900.00	1174.60	130.51	110.93	500-1999 (25% cashback)
85238766	900.00	1042.50	115.83	96.25	500-1999 (25% cashback)
98580443	900.00	1284.12	142.68	123.10	500-1999 (25% cashback)
98706533	900.00	1024.39	113.82	94.24	500-1999 (25% cashback)
20367210	800.00	888.90	111.11	91.53	500-1999 (25% cashback)
29679625	800.00	1021.95	127.74	108.16	500-1999 (25% cashback)
36346832	800.00	891.20	111.40	91.82	500-1999 (25% cashback)
64250560	800.00	896.30	112.04	92.46	500-1999 (25% cashback)
85974013	800.00	1226.80	153.35	133.77	500-1999 (25% cashback)
90784576	800.00	1049.48	131.19	111.61	500-1999 (25% cashback)
95641950	800.00	926.16	115.77	96.19	500-1999 (25% cashback)
17823685	770.00	843.80	109.58	90.00	500-1999 (25% cashback)
15465537	700.00	1105.66	157.95	138.37	500-1999 (25% cashback)
16760907	700.00	777.60	111.09	91.51	500-1999 (25% cashback)
21099925	700.00	829.60	118.51	98.93	500-1999 (25% cashback)
32885519	700.00	858.70	122.67	103.09	500-1999 (25% cashback)
36697561	700.00	792.85	113.26	93.68	500-1999 (25% cashback)
42956641	700.00	839.95	119.99	100.41	500-1999 (25% cashback)
45299687	700.00	767.07	109.58	90.00	500-1999 (25% cashback)
56706130	700.00	1645.85	235.12	215.54	500-1999 (25% cashback)
57347750	700.00	793.35	113.34	93.76	500-1999 (25% cashback)
61815814	700.00	960.60	137.23	117.65	500-1999 (25% cashback)
62468312	700.00	2037.87	291.12	271.54	500-1999 (25% cashback)
63823316	700.00	1229.34	175.62	156.04	500-1999 (25% cashback)
66973193	700.00	984.90	140.70	121.12	500-1999 (25% cashback)
70276016	700.00	840.65	120.09	100.51	500-1999 (25% cashback)
75178231	700.00	796.22	113.75	94.17	500-1999 (25% cashback)
95243270	700.00	774.32	110.62	91.04	500-1999 (25% cashback)
18356634	650.00	802.40	123.45	103.87	500-1999 (25% cashback)
71304545	650.00	758.60	116.71	97.13	500-1999 (25% cashback)
10062047	600.00	684.20	114.03	94.45	500-1999 (25% cashback)
18403148	600.00	994.88	165.81	146.23	500-1999 (25% cashback)
19933982	600.00	1263.26	210.54	190.96	500-1999 (25% cashback)
24854296	600.00	786.20	131.03	111.45	500-1999 (25% cashback)
25842791	600.00	949.10	158.18	138.60	500-1999 (25% cashback)
26234966	600.00	687.92	114.65	95.07	500-1999 (25% cashback)
27823782	600.00	660.30	110.05	90.47	500-1999 (25% cashback)
29681717	600.00	668.80	111.47	91.89	500-1999 (25% cashback)
36827552	600.00	715.00	119.17	99.59	500-1999 (25% cashback)
46215354	600.00	712.10	118.68	99.10	500-1999 (25% cashback)
48205906	600.00	679.76	113.29	93.71	500-1999 (25% cashback)
52574596	600.00	685.70	114.28	94.70	500-1999 (25% cashback)
56005594	600.00	676.80	112.80	93.22	500-1999 (25% cashback)
64616553	600.00	680.16	113.36	93.78	500-1999 (25% cashback)
75189595	600.00	694.50	115.75	96.17	500-1999 (25% cashback)
78235158	600.00	679.90	113.32	93.74	500-1999 (25% cashback)
78403576	600.00	677.10	112.85	93.27	500-1999 (25% cashback)
83975540	600.00	698.60	116.43	96.85	500-1999 (25% cashback)
87935254	600.00	737.16	122.86	103.28	500-1999 (25% cashback)
92906444	600.00	2122.46	353.74	334.16	500-1999 (25% cashback)
94236450	600.00	1094.50	182.42	162.84	500-1999 (25% cashback)
95400287	600.00	711.90	118.65	99.07	500-1999 (25% cashback)
15373610	590.00	681.56	115.52	95.94	500-1999 (25% cashback)
30816501	590.00	856.08	145.10	125.52	500-1999 (25% cashback)
70633730	566.00	727.75	128.58	109.00	500-1999 (25% cashback)
54597697	515.00	581.20	112.85	93.27	500-1999 (25% cashback)
78380538	511.00	581.65	113.83	94.25	500-1999 (25% cashback)
76487986	508.00	632.10	124.43	104.85	500-1999 (25% cashback)
859	500.00	574.90	114.98	95.40	500-1999 (25% cashback)
1690	500.00	615.05	123.01	103.43	500-1999 (25% cashback)
10134986	500.00	697.04	139.41	119.83	500-1999 (25% cashback)
10504520	500.00	639.56	127.91	108.33	500-1999 (25% cashback)
10886863	500.00	742.84	148.57	128.99	500-1999 (25% cashback)
11980560	500.00	565.70	113.14	93.56	500-1999 (25% cashback)
12408981	500.00	564.70	112.94	93.36	500-1999 (25% cashback)
13278685	500.00	655.48	131.10	111.52	500-1999 (25% cashback)
13842784	500.00	558.70	111.74	92.16	500-1999 (25% cashback)
14329254	500.00	661.63	132.33	112.75	500-1999 (25% cashback)
14616512	500.00	719.20	143.84	124.26	500-1999 (25% cashback)
14747239	500.00	607.80	121.56	101.98	500-1999 (25% cashback)
15968054	500.00	567.60	113.52	93.94	500-1999 (25% cashback)
16181188	500.00	554.29	110.86	91.28	500-1999 (25% cashback)
16224342	500.00	639.10	127.82	108.24	500-1999 (25% cashback)
16471997	500.00	612.30	122.46	102.88	500-1999 (25% cashback)
16519332	500.00	635.70	127.14	107.56	500-1999 (25% cashback)
17036622	500.00	556.75	111.35	91.77	500-1999 (25% cashback)
17068421	500.00	670.20	134.04	114.46	500-1999 (25% cashback)
18087221	500.00	600.00	120.00	100.42	500-1999 (25% cashback)
18140805	500.00	657.20	131.44	111.86	500-1999 (25% cashback)
18188250	500.00	595.37	119.07	99.49	500-1999 (25% cashback)
18941300	500.00	560.86	112.17	92.59	500-1999 (25% cashback)
20105086	500.00	611.50	122.30	102.72	500-1999 (25% cashback)
20909716	500.00	562.60	112.52	92.94	500-1999 (25% cashback)
22312251	500.00	674.72	134.94	115.36	500-1999 (25% cashback)
22493224	500.00	560.48	112.10	92.52	500-1999 (25% cashback)
23109148	500.00	549.60	109.92	90.34	500-1999 (25% cashback)
23438207	500.00	582.20	116.44	96.86	500-1999 (25% cashback)
24386526	500.00	575.00	115.00	95.42	500-1999 (25% cashback)
24562695	500.00	561.70	112.34	92.76	500-1999 (25% cashback)
25111623	500.00	548.70	109.74	90.16	500-1999 (25% cashback)
25657890	500.00	630.60	126.12	106.54	500-1999 (25% cashback)
26183434	500.00	757.34	151.47	131.89	500-1999 (25% cashback)
26460454	500.00	660.75	132.15	112.57	500-1999 (25% cashback)
26702599	500.00	640.75	128.15	108.57	500-1999 (25% cashback)
26914965	500.00	700.00	140.00	120.42	500-1999 (25% cashback)
27273509	500.00	630.00	126.00	106.42	500-1999 (25% cashback)
27350910	500.00	600.10	120.02	100.44	500-1999 (25% cashback)
29246117	500.00	571.00	114.20	94.62	500-1999 (25% cashback)
29421038	500.00	569.08	113.82	94.24	500-1999 (25% cashback)
29483176	500.00	548.00	109.60	90.02	500-1999 (25% cashback)
29651528	500.00	650.78	130.16	110.58	500-1999 (25% cashback)
29698277	500.00	624.95	124.99	105.41	500-1999 (25% cashback)
29978103	500.00	629.00	125.80	106.22	500-1999 (25% cashback)
33283847	500.00	641.29	128.26	108.68	500-1999 (25% cashback)
33737446	500.00	582.00	116.40	96.82	500-1999 (25% cashback)
35382617	500.00	710.50	142.10	122.52	500-1999 (25% cashback)
35690956	500.00	557.20	111.44	91.86	500-1999 (25% cashback)
36474268	500.00	564.25	112.85	93.27	500-1999 (25% cashback)
36631993	500.00	562.10	112.42	92.84	500-1999 (25% cashback)
37331383	500.00	616.70	123.34	103.76	500-1999 (25% cashback)
37528099	500.00	637.85	127.57	107.99	500-1999 (25% cashback)
37983972	500.00	1678.20	335.64	316.06	500-1999 (25% cashback)
38397884	500.00	669.15	133.83	114.25	500-1999 (25% cashback)
39907021	500.00	554.32	110.86	91.28	500-1999 (25% cashback)
40591603	500.00	566.70	113.34	93.76	500-1999 (25% cashback)
40821096	500.00	567.50	113.50	93.92	500-1999 (25% cashback)
42100720	500.00	596.40	119.28	99.70	500-1999 (25% cashback)
42880227	500.00	646.31	129.26	109.68	500-1999 (25% cashback)
43001015	500.00	594.80	118.96	99.38	500-1999 (25% cashback)
43348149	500.00	565.56	113.11	93.53	500-1999 (25% cashback)
43470401	500.00	646.55	129.31	109.73	500-1999 (25% cashback)
43679752	500.00	626.12	125.22	105.64	500-1999 (25% cashback)
44174932	500.00	557.60	111.52	91.94	500-1999 (25% cashback)
44318972	500.00	550.40	110.08	90.50	500-1999 (25% cashback)
44344270	500.00	557.60	111.52	91.94	500-1999 (25% cashback)
45736826	500.00	554.00	110.80	91.22	500-1999 (25% cashback)
46856124	500.00	592.20	118.44	98.86	500-1999 (25% cashback)
47399772	500.00	722.00	144.40	124.82	500-1999 (25% cashback)
47888089	500.00	583.50	116.70	97.12	500-1999 (25% cashback)
48553067	500.00	635.30	127.06	107.48	500-1999 (25% cashback)
49154595	500.00	859.28	171.86	152.28	500-1999 (25% cashback)
49169827	500.00	717.40	143.48	123.90	500-1999 (25% cashback)
49491784	500.00	624.00	124.80	105.22	500-1999 (25% cashback)
50303714	500.00	747.90	149.58	130.00	500-1999 (25% cashback)
51021034	500.00	633.85	126.77	107.19	500-1999 (25% cashback)
51177391	500.00	615.76	123.15	103.57	500-1999 (25% cashback)
51556506	500.00	593.75	118.75	99.17	500-1999 (25% cashback)
52355079	500.00	571.50	114.30	94.72	500-1999 (25% cashback)
52548411	500.00	554.49	110.90	91.32	500-1999 (25% cashback)
52965927	500.00	562.25	112.45	92.87	500-1999 (25% cashback)
53074625	500.00	614.32	122.86	103.28	500-1999 (25% cashback)
53191527	500.00	570.00	114.00	94.42	500-1999 (25% cashback)
53253215	500.00	634.14	126.83	107.25	500-1999 (25% cashback)
53885854	500.00	566.45	113.29	93.71	500-1999 (25% cashback)
54432972	500.00	638.50	127.70	108.12	500-1999 (25% cashback)
54452306	500.00	556.40	111.28	91.70	500-1999 (25% cashback)
56204850	500.00	572.00	114.40	94.82	500-1999 (25% cashback)
56952924	500.00	660.00	132.00	112.42	500-1999 (25% cashback)
57525380	500.00	562.03	112.41	92.83	500-1999 (25% cashback)
57583518	500.00	552.70	110.54	90.96	500-1999 (25% cashback)
59168624	500.00	635.20	127.04	107.46	500-1999 (25% cashback)
59201663	500.00	577.44	115.49	95.91	500-1999 (25% cashback)
59389230	500.00	562.51	112.50	92.92	500-1999 (25% cashback)
60213206	500.00	577.95	115.59	96.01	500-1999 (25% cashback)
60647690	500.00	586.60	117.32	97.74	500-1999 (25% cashback)
60676830	500.00	634.80	126.96	107.38	500-1999 (25% cashback)
61590011	500.00	607.75	121.55	101.97	500-1999 (25% cashback)
62906557	500.00	569.42	113.88	94.30	500-1999 (25% cashback)
63639133	500.00	657.05	131.41	111.83	500-1999 (25% cashback)
63780192	500.00	895.52	179.10	159.52	500-1999 (25% cashback)
65143115	500.00	573.68	114.74	95.16	500-1999 (25% cashback)
65403127	500.00	617.65	123.53	103.95	500-1999 (25% cashback)
65528556	500.00	636.35	127.27	107.69	500-1999 (25% cashback)
65754019	500.00	564.53	112.91	93.33	500-1999 (25% cashback)
66015706	500.00	554.00	110.80	91.22	500-1999 (25% cashback)
